Hashtag,EngagementRate,Reach,Likes,PostCount
#hidrac,96.61016949152543,59.0,56.0,1
#somethingwickhid,93.59920239282154,72.0,63.0,2
#arts,90.62280084447572,63.5,53.0,2
#contemporariesofcolor,90.62280084447572,63.5,53.0,2
#classicaltheater,90.62280084447572,63.5,53.0,2
#director,90.62280084447572,63.5,53.0,2
#actor,90.62280084447572,63.5,53.0,2
#event,90.62280084447572,63.5,53.0,2
#theaterdirector,90.62280084447572,63.5,53.0,2
#newyorkshakespeare,90.62280084447572,63.5,53.0,2
#thetrialsofthehouse,90.62280084447572,63.5,53.0,2
#newyorktheater,90.62280084447572,63.5,53.0,2
#artsevent,90.62280084447572,63.5,53.0,2
#teamhelena,88.13559322033898,59.0,51.0,1
#teamparolles,88.13559322033898,59.0,51.0,1
#theater,84.16998983501446,71.33333333333333,55.666666666666664,3
#hidturnsten,76.0,125.0,87.0,1
#acting,74.78301665493784,61.666666666666664,43.333333333333336,3
#theatre,73.62620143842979,68.5,48.333333333333336,6
#yeehaw,72.26471566345195,110.5,73.0,2
#allswell,71.59387943108368,64.66666666666667,43.0,3
#allswellthatendswell,71.50858067221634,79.75,52.75,8
#kinglear,71.26436781609196,87.0,61.0,1
#hidallswell,69.7360223259207,76.88888888888889,50.111111111111114,9
#awestruck,69.37984496124031,258.0,168.0,1
#williamshakespeare,64.09336148252405,235.66666666666666,55.333333333333336,3
#prettypeople,62.624194781089635,235.5,140.5,2
#letsgo,62.624194781089635,235.5,140.5,2
#somuchtalent,62.624194781089635,235.5,140.5,2
#residentactingcompany,62.624194781089635,235.5,140.5,2
#newseason,61.612999403697074,161.5,100.5,2
#grassrootstheatre,60.57692307692307,104.0,60.0,1
#frigidnyc,60.57692307692307,104.0,60.0,1
#carlbindman,59.09090909090909,88.0,50.0,1
#happypride,55.90551181102362,127.0,69.0,1
#pride,55.90551181102362,127.0,69.0,1
#pridemonth,55.90551181102362,127.0,69.0,1
#queeringthecanon,55.90551181102362,127.0,69.0,1
#castreveal,55.86854460093896,213.0,113.0,1
#hidtonyandcleo,55.86854460093896,213.0,113.0,1
#closingweekend,55.55555555555556,54.0,29.0,1
#freehim,55.55555555555556,54.0,29.0,1
#whattodoinnyc,55.55555555555556,54.0,29.0,1
#worldtheatreday,55.00000000000001,60.0,27.0,1
#birthdayparty,53.84615384615385,65.0,33.0,1
#amidsummernightsdream,53.84615384615385,65.0,33.0,1
#rac,53.84615384615385,65.0,33.0,1
#spreadtheword,53.84615384615385,65.0,33.0,1
#rsvp,53.84615384615385,65.0,33.0,1
#10years,53.84615384615385,65.0,33.0,1
#thingstodoinnyc,52.210309095300936,112.33333333333333,41.0,6
#nyc,43.47887109819297,210.5909090909091,47.04545454545455,22
#virutaltheatre,43.103448275862064,58.0,24.0,1
#japan,43.103448275862064,58.0,24.0,1
#noh,43.103448275862064,58.0,24.0,1
#japanesetheatre,43.103448275862064,58.0,24.0,1
#centeratwestpark,39.04309113543426,962.3076923076923,60.69230769230769,13
#hid,38.813756504598416,400.93023255813955,56.372093023255815,43
#nyctheatre,33.39340214794371,451.71875,59.125,32
#amidsummernightsstream,33.33333333333333,111.0,36.0,1
#midsummernightsdream,33.33333333333333,111.0,36.0,1
#theatretickets,30.481193635357897,152.8,38.0,5
#macbeth,30.016293383267207,933.1428571428571,52.857142857142854,7
#showtime,29.70516459983067,1142.5,44.0,2
#fundraiser,29.68689601855431,629.5,32.0,2
#onenightonly,29.68689601855431,629.5,32.0,2
#offoffbroadway,29.285758113691806,579.0,50.5,4
#tonyandcleo,29.184614038567165,153.0,46.333333333333336,6
#chooseyourownadventure,29.119651755541554,704.0,38.5,2
#antonyandcleopatra,28.475945792601927,178.7,49.4,10
#offbroadway,24.45327442264225,674.0,47.8,5
#tamingoftheshrew,22.64136160654575,829.8,62.2,5
#herecomestheboy,22.123893805309734,113.0,23.0,1
#justalittleguy,22.123893805309734,113.0,23.0,1
#octaviuscaesar,22.123893805309734,113.0,23.0,1
#ticketlinkinbio,22.123893805309734,113.0,23.0,1
#fridaythe13th,21.09375,128.0,25.0,1
#getyourtickets,20.623458885406745,607.0,42.25,4
#twitch,20.562526457717357,836.6666666666666,34.0,3
#shrewyou,19.542775378248145,852.0,56.166666666666664,6
#hamletisntdead,19.010529479381816,2816.3615384615387,129.16923076923078,130
#givingtuesday,18.53448275862069,232.0,42.0,2
#supporthidiocy,18.53448275862069,232.0,42.0,1
#openingnight,17.74013575378273,813.0,52.75,4
#shakespeare,17.574169333630692,909.1696428571429,52.17857142857143,112
#hidiocy,17.005530646200278,14853.111111111111,599.6666666666666,18
#littleshakespearefestival,16.6325475975986,897.875,55.875,8
#hidiots,16.24623272525363,3029.5254237288136,135.01694915254237,118
#linkinbio,15.465202684982,742.8,41.2,10
#nycshakespeare,14.513943013578746,954.4754098360655,57.67213114754098,61
#therandjproject,14.285714285714285,7.0,0.0,1
#hidiot,13.647058823529413,1700.0,189.0,1
#comingsoon,13.647058823529413,1700.0,189.0,1
#staytuned,13.647058823529413,1700.0,189.0,1
#classicaltheatre,13.403532280000945,596.8888888888889,50.22222222222222,9
#history,12.835249042145595,522.0,51.0,1
#theatrehistory,12.835249042145595,522.0,51.0,1
#historylesson,12.835249042145595,522.0,51.0,1
#frigidnewyork,12.03309730570663,1002.6,56.8,5
#paywhatyoucan,11.682242990654206,428.0,45.0,1
#antiracisttheatre,11.128526645768025,638.0,61.0,1
#thegreatwhitebard,11.128526645768025,638.0,61.0,1
#closingshow,10.625,320.0,34.0,1
#imagedescription,9.542453829224824,596.0,47.0,3
#othello,9.485685418756562,950.1428571428571,67.0,14
#understudyappreciationpost,9.034267912772584,642.0,44.0,1
#meetahidiot,8.749417420953222,575.0,40.0,2
#newwork,8.649744813801401,512.0,37.5,2
#zounds,8.46456692913386,508.0,36.0,1
#itsgonnabemay,8.37696335078534,764.0,61.0,1
#seasonannouncement,8.116541608500079,684.5,50.5,2
#dearannieihateyou,7.570977917981073,951.0,68.0,1
#edinburghfringe,7.570977917981073,951.0,68.0,1
#fishmarkettheatreco,7.570977917981073,951.0,68.0,1
#cringe,7.570977917981073,951.0,68.0,1
#edfringe,7.570977917981073,951.0,68.0,1
#devisedtheatre,7.486678919994973,864.6666666666666,43.666666666666664,6
#nycfringe,7.251134597689009,824.4285714285714,42.57142857142857,7
#newyearsresolution,7.208872458410351,1623.0,83.0,1
#racatitagain,7.174185463659148,3192.0,187.0,1
#bardcore,7.164179104477612,335.0,23.0,1
#folkmusic,7.164179104477612,335.0,23.0,1
#tradmusic,7.164179104477612,335.0,23.0,1
#learningthroughplay,7.02054794520548,584.0,36.0,1
#shakesprek,7.02054794520548,584.0,36.0,1
#shakespeareforkids,7.02054794520548,584.0,36.0,1
#earlychildhooddevelopment,7.02054794520548,584.0,36.0,1
#whenmycuecomes,7.010093577497983,934.9166666666666,47.5,12
#rehearsal,6.993006993006993,429.0,27.0,1
#hidothello,6.993006993006993,429.0,27.0,1
#nycactor,6.984137383568432,20302.846153846152,812.0,13
#bratsummer,6.974459724950884,1018.0,59.0,1
#thanksjupiter,6.971532642212579,1010.5454545454545,52.09090909090909,11
#classicalactor,6.919729089911577,1250.1785714285713,61.285714285714285,28
#cymbeline,6.7640591558245875,860.68,43.56,25
#cymbelmeme,6.742896355878469,837.1666666666666,43.166666666666664,6
#supportindietheater,6.530089628681178,781.0,30.0,1
#memes,6.505186443373761,1314.5,59.0,2
#fightchoreography,6.2953995157385,413.0,22.0,1
#standoutchallenge,6.277093007111674,432.0,17.5,2
#twogents,6.045629050806558,1450.0,71.66666666666667,3
#developmentyear,6.026785714285714,448.0,21.0,1
#indietheatre,6.026785714285714,448.0,21.0,1
#indieshakespeare,6.026785714285714,448.0,21.0,1
#growth,6.026785714285714,448.0,21.0,1
#somuchcooking,6.026785714285714,448.0,21.0,1
#praisebetobard,5.849809199056426,905.0,40.666666666666664,3
#savewildproject,5.684007707129094,1038.0,48.0,1
#2000snostalgia,5.530973451327434,904.0,34.0,1
#hamnet,5.527638190954774,1194.0,31.0,1
#theatrekid,5.503245952729043,7518.897435897436,296.9230769230769,39
#nohatespeare,5.388108946305164,1706.25,66.25,4
#millennial,5.300340971544578,846.5,27.5,2
#cymbelteam,5.229455709711846,937.0,33.0,1
#stagecombat,5.223497260008416,590.6666666666666,24.0,3
#noboysallowed,5.183409865744625,2002.4166666666667,72.58333333333333,12
#pericles,5.178508181421825,1659.0,61.8421052631579,19
#fringe,5.085878912567231,1100.0,43.5,2
#tiktok,5.083183628836991,826.5,30.5,2
#forbardssake,5.078403280201525,1379.8,52.2,10
#2000sfashion,5.069708491761723,789.0,21.0,1
#halloweencostume,5.045045045045045,555.0,25.0,1
#paywhatyouwish,5.005213764337852,959.0,31.0,1
#earlybird,5.005213764337852,959.0,31.0,1
#hailjupiter,5.005213764337852,959.0,31.0,1
#asyoulikeit,4.853671060837057,1497.4,52.8,5
#slay,4.830917874396135,621.0,25.0,1
#badguy,4.826862539349422,953.0,32.0,1
#actors,4.617414248021108,1516.0,54.0,1
#smallartists,4.617414248021108,1516.0,54.0,1
#shakespearenyc,4.617414248021108,1516.0,54.0,1
#puppets,4.585798816568047,676.0,21.0,1
#tickets,4.490500863557859,579.0,21.0,1
#wmcc,4.490500863557859,579.0,21.0,1
#nycshakeapeare,4.490500863557859,579.0,21.0,1
#tempest,4.481940588380974,1359.0,41.5,2
#letsgooo,4.45632798573975,1122.0,37.0,1
#techweek,4.45632798573975,1122.0,37.0,1
#hidturnseleven,4.393149664929263,1343.0,44.0,1
#comesailaway,4.367531932426864,2427.0,74.0,1
#theatregames,4.340125061197196,251237.0,9944.0,1
#hamlet,4.1888524835217815,1553.6666666666667,44.666666666666664,3
#monologue,4.179230526180287,1014.5,31.0,2
#aprilfools,4.159733777038269,1202.0,39.0,1
#twitchstream,4.122646305076229,1431.75,37.25,4
#getyourtix,4.0951533586406805,1036.8333333333333,29.166666666666668,6
#embroidery,4.017372421281216,921.0,29.0,1
#castdrop,4.0051679586563305,5418.0,196.0,1
#savethedate,4.0051679586563305,5418.0,196.0,1
#interactivetheatre,3.99791296936633,1643.0,47.5,2
#romeoandjuliet,3.920712763499114,1222.5,34.5,2
#happyopening,3.8547736441057823,2231.0,59.0,1
#hidpericles,3.7115898111975563,1973.2,63.8,5
#happynewyear,3.696098562628337,974.0,25.0,1
#thescottishplay,3.621581670362158,1353.0,40.0,1
#macshhhh,3.621581670362158,1353.0,40.0,1
#happyholidays,3.5884228193778416,84754.33333333333,3336.0,3
#instatakeover,3.225806451612903,465.0,13.0,1
#queerthecanon,3.1825795644891124,1194.0,30.0,1
#lgbtq,3.1825795644891124,1194.0,30.0,1
#breakaleg,3.015873015873016,630.0,14.0,1
#thebestinthebiz,3.015873015873016,630.0,14.0,1
#hero,3.015873015873016,630.0,14.0,1
#4moreshows,3.015873015873016,630.0,14.0,1
#understudyappreciation,3.015873015873016,630.0,14.0,1
#thesixthageshifts,2.8802880288028803,2222.0,45.0,1
#intothewoods,2.8802880288028803,2222.0,45.0,1
#cute,2.431620527707616,69.73529411764706,1.4705882352941178,34
#art,2.431620527707616,69.73529411764706,1.4705882352941178,34
#beauty,2.431620527707616,69.73529411764706,1.4705882352941178,34
#happy,2.431620527707616,69.73529411764706,1.4705882352941178,34
#fashion,2.431620527707616,69.73529411764706,1.4705882352941178,34
#follow,2.431620527707616,69.73529411764706,1.4705882352941178,34
