"Post ID","Account ID","Account username","Account name",Description,"Duration (sec)","Publish time",Permalink,"Post type","Data comment",Date,Views,Reach,Likes,Shares,Replies,Navigation,"Profile visits","Link clicks","Sticker taps"
18107870644505696,17841400539558029,hamletisntdead,"Hamlet Isn't Dead",,15,"05/22/2025 20:32",https://instagram.com/stories/hamletisntdead/3638568235537219692,"IG story",,Lifetime,66,57,2,0,0,74,,,11
18347209612160154,17841400539558029,hamletisntdead,"Hamlet Isn't Dead",,15,"10/20/2025 10:00",,"IG story",,Lifetime,54,43,1,0,0,48,,,
18104193874628661,17841400539558029,hamletisntdead,"Hamlet Isn't Dead","Catch @itssamiaom ONE NIGHT ONLY!",0,"10/16/2025 14:18",,"IG story",,Lifetime,142,116,0,0,0,81,,,
18106678585612289,17841400539558029,hamletisntdead,"Hamlet Isn't Dead","HIDiot spotting!! @itssamiaom",4,"10/13/2025 13:31",,"IG story",,Lifetime,185,142,4,0,0,111,2,,
18089621383839200,17841400539558029,hamletisntdead,"Hamlet Isn't Dead","RAC SPOTLIGHT",5,"09/19/2025 17:03",,"IG story",,Lifetime,73,55,3,0,0,62,1,,
18174783703355049,17841400539558029,hamletisntdead,"Hamlet Isn't Dead",,0,"09/18/2025 10:12",,"IG story",,Lifetime,98,84,1,0,0,84,,,
18078344456508882,17841400539558029,hamletisntdead,"Hamlet Isn't Dead","LETS GO @oliviabaesil !!
 💕Your HIDIOTS love youu 💕",0,"08/23/2025 16:31",,"IG story",,Lifetime,116,101,3,0,1,106,,,
17918499387156035,17841400539558029,hamletisntdead,"Hamlet Isn't Dead","Had the absolute pleasure of seeing our friends over at @tier5theatrecompany bring so much fun with their production of Much Ado. You only have 2 more chances to experience this joyful adaptation!!",15,"08/23/2025 09:29",,"IG story",,Lifetime,193,142,4,0,0,96,,,2
18039124847659254,17841400539558029,hamletisntdead,"Hamlet Isn't Dead",,0,"08/14/2025 05:12",,"IG story",,Lifetime,77,59,2,0,0,72,,,
17851813500522971,17841400539558029,hamletisntdead,"Hamlet Isn't Dead","We cannot wait!!!",3,"08/14/2025 05:11",,"IG story",,Lifetime,86,65,4,0,1,64,1,,
18142146655403810,17841400539558029,hamletisntdead,"Hamlet Isn't Dead","And to cap it all off, @itsemmamueller is producing @thewordofthedayplay 📖🔎",0,"07/13/2025 07:44",,"IG story",,Lifetime,253,215,2,0,0,87,1,,
17859118968450520,17841400539558029,hamletisntdead,"Hamlet Isn't Dead","THEN @unsureofmyname -I mean @jaspertheghostcomedy is performing their long-awaited clown show!",15,"07/13/2025 07:40",,"IG story",,Lifetime,169,139,1,0,0,105,1,1,3
18094133086617962,17841400539558029,hamletisntdead,"Hamlet Isn't Dead","So many HIDiot performances to catch this week! Starting tomorrow with @toomuch_tori 's Rascals!",15,"07/13/2025 07:37",,"IG story",,Lifetime,209,170,7,0,0,104,,1,
18070198088043959,17841400539558029,hamletisntdead,"Hamlet Isn't Dead",,0,"07/11/2025 04:48",,"IG story",,Lifetime,70,67,0,0,0,76,,,
18065327608911838,17841400539558029,hamletisntdead,"Hamlet Isn't Dead","Check out our friends at @arachne_theater 😍",3,"07/11/2025 04:48",,"IG story",,Lifetime,156,132,0,0,0,73,1,1,2
17995165145648218,17841400539558029,hamletisntdead,"Hamlet Isn't Dead",,15,"06/24/2025 07:05",,"IG story",,Lifetime,48,46,2,0,0,51,,,
17874730584362917,17841400539558029,hamletisntdead,"Hamlet Isn't Dead",@leilanidadivine,3,"06/22/2025 16:02",,"IG story",,Lifetime,113,98,3,0,0,80,,,
17872089168377911,17841400539558029,hamletisntdead,"Hamlet Isn't Dead",,5,"06/22/2025 15:54",,"IG story",,Lifetime,562,494,6,0,0,69,,,
17873665965368946,17841400539558029,hamletisntdead,"Hamlet Isn't Dead",,0,"06/22/2025 13:50",,"IG story",,Lifetime,76,68,2,0,0,78,,,6
18512507575004457,17841400539558029,hamletisntdead,"Hamlet Isn't Dead",,5,"06/22/2025 10:47",,"IG story",,Lifetime,77,66,1,0,0,77,,,2
18071855269939138,17841400539558029,hamletisntdead,"Hamlet Isn't Dead","It's the SMILE for us 🥰",0,"06/08/2025 13:46",,"IG story",,Lifetime,82,77,0,0,0,80,1,,
18301285933300886,17841400539558029,hamletisntdead,"Hamlet Isn't Dead","💞 💓",0,"06/07/2025 13:35",,"IG story",,Lifetime,96,91,3,0,0,93,,,
18059090747231370,17841400539558029,hamletisntdead,"Hamlet Isn't Dead",,15,"06/05/2025 07:22",,"IG story",,Lifetime,47,42,3,0,0,44,,,
17898937242197748,17841400539558029,hamletisntdead,"Hamlet Isn't Dead","Until next time, All Stars ✨️ @toomuch_tori 
@unsureofmyname 
@ladymaudlin 
@the_temporary_synesthetic 
@itsemmamueller",58,"06/02/2025 05:15",https://instagram.com/stories/hamletisntdead/3646079262491532601,"IG story",,Lifetime,380,298,6,0,0,97,,,74
17948531669986926,17841400539558029,hamletisntdead,"Hamlet Isn't Dead","@unsureofmyname  Unfortunately the body isn’t doing so well... ""This Cloten was a fool""",5,"06/01/2025 13:00",https://instagram.com/stories/hamletisntdead/3645588715176488296,"IG story",,Lifetime,172,146,4,0,1,92,1,,
18080861383809178,17841400539558029,hamletisntdead,"Hamlet Isn't Dead",,3,"06/01/2025 10:01",https://instagram.com/stories/hamletisntdead/3645498562428176354,"IG story",,Lifetime,53,47,1,0,0,51,,,
18101143573533501,17841400539558029,hamletisntdead,"Hamlet Isn't Dead",,0,"06/01/2025 09:07",https://instagram.com/stories/hamletisntdead/3645470999039328905,"IG story",,Lifetime,55,46,0,0,0,55,,,
